a) Fútbol; b) Tenis; c) Natación,
a) Polo; b) Golf ; c) Hípica;
a) Golf; b) Dardos; c) Frontón
a) Motociclismo; b) Salto base; c) Escalada libre;
a) Natación; b) Running; c) Ciclismo;
a) VII a.C; b) IV a.C; c) XVIII d.C ;
a) Judo; b) Ajedrez ; c) Sumo;
a) Tenis; b) Vela; c) Piragüismo;
a) Los colores de las banderas de los primeros países participantes; b) Universalidad y representatividad de los 5 continentes ;c) El número y color de las categorías deportivas;
a) Únicamente de oro; b) 6 gramos de oro, 494 gramos de plata, cobre, estaño y zinc; c) 125 gramos de oro, 242 plata y 113 de cobre;
a) 20; b) 17; c) 18;
a) 20; b) 18; c) 22;
a) En 1911; b) En 1929; c) En 1945;
a) Ninguna; b) 1; c) 2;
a) F. C. Barcelona; b) Real Madrid C. F. ; c) Athletic Club;
a) De tripa de vaca/poliéster/nylon; b) De tripa de vaca/nylon/algodón ; c) De poliéster/nylon/bambú;
a) El pelo frena la bola en el aire, y hace que no bote muy alto y se pueda dar efecto; b) Por seguridad, el pelo hace que no corte la piel al recibir un impacto de la bola; c) El pelo consigue aligerar el peso de la bola y que aguante los golpes de la raqueta;
a) Rafael Nadal; b) Jimmy Connors; c) Roger Federer;
a) Con la mano, en el caso de no tener la raqueta; b) Con la mano que sujeta la raqueta, es decir, desde el mango; c) Con ninguna, sólo con la raqueta;
a) Alemania; b) Francia; c) Inglaterra;
a) A principios del siglo XIV; b) A finales del siglo XIV; c) A mediados del siglo XX;
a) 18; b) 10; c) 12;
a) 143 Los Angeles Lakers VS 127 Dallas Mavericks; b) 186 Detroit Pistons VS 184 Denver Nuggets; c) 155 Chicago Bulls VS 153 Detroit Pistons;
a) Falta de saque; b) Falta de tiro; c) Falta de carga;
a) Spud Webb; b) Muggsy Bogues; c) Earl Boykins; 
