a)Montevideo; b)Lima; c)Quito;
a)Rabat; B)Casa Blanca; C)Marrakech;
a)35; b)29; c)25;
a)Finlandia; b)Groenlandia; c)Islandia;
a)Lituania; b)Estonia; c)Letonia;
a)55; b)50; c)52;
a)Sarajevo; b)Tirana; c)Podgorica;
a) Helsinki; b)Estocolmo; c) Oslo;
a)Wellington; b)Dunedin; c)Christchurch;
a)Bolivia; b)Uruguay; c)Paraguay;
a) Tokio; b) Nueva Delhi; c) Shangai;
a) Pretoria; b) Johannesburgo; c)Bloemfontein;
a)Oman; b)Jordania; c)Kuwait;
a)Sana; b)Salalah; c)Seeb;
a)Kabul; b)Bishkek; c)Astana;
a)Holanda; b)Alemania; c)Polonia;
a) Brisbane; b) Adelaida; c) Auckland;
a)Mogadiscio; b)Kampala; c)Nairobi;
a) Mogadiscio; b) Adís Abeba; c) Yibuti;
a)Senegal; b)Mauritania; c)Guinea;
a)La Habana; b)Kingston; c)Puerto Príncipe;
a)Colombia; b)Venezuela; c)Panama;
a)8; b)6; c)5;
a)Legazpi city; b)Manila; c)Daet;
a)Liepaja; b)Vilna; c)Tallin;
a)Chad; b)Libia; c)Niger;
a)6; b)7; c)8;
a)Selfoss; b)Nuuk; c)Höfn;
a)Helsinki; b)Estocolmo; c)Oslo;
a)50; b)27; c)42;
