a) Salir con tus amigos; b) Quedarte en casa viendo Netflix; 
a) Eres alguien que saca tema de conversación o que se uno fácilmente a una conversación; b) Esperas a que habla el resto del grupo antes y te cuesta mas introducirte a las conversaciones;
a) Si; b) No;
a) Si; b) No;
a) Si; b) No;
a) Dar tu opinión sin pensártelo y participar activamente; b) Eres mas reservado y das tu opinión raramente;
a) Te gusta que la gente sepa como eres y expresar tus gustos y aficiones; b) Eres reservado al hablar de ti y no sueles compartir lo que te gusta hacer;
a) Si; b) No;
a) No; b) Si;
a) No; b) Si;
a) Me encatan pasar tiempo reunido; b) Me gusta más ir por libre;
a) Sí, cuantos más mejor; b) No, con los de siempre me conformo;
a) No; b) Si;
a) No, solo quiero un momento de tranquilidad; b) Si, necesito estar tranquilo;
a) No; b) Si;
a) No; b) Si;
a) No; b) Si;
a) No; b) Si;
a) No; b) Si;
c) No; d) Si;
c) Si; d) No;
c) Ser el que mas destaca, sin importar lo que opinen los demás; d)	Respetar las opiniones y trabajar en conjunto, aunque no seas el que más destaque;
c) No tomas a esa persona en serio e intentas demostrar que tu opinión es la correcta; d) Respetas e intentas comprender la opinión de esa persona, aunque sea totalmente opuesta a la tuya;
c) Si; d) No;
c) Si; d) No;
c) Empezarías una discusión para demostrar lo contrario; d)	Le darías la razón y lo dejarías pasar sin importancia;
c) Si; d) No;
c) Cada uno debe hacerse cargo de sus problemas; d)	Le intentas ayudar y dar consejo;
c) Si; d) No;
c) No; d) Si;
c) Si; d) No;
c) No; d) Si;
c) No; d) Si;
c) Te da igual porque te cae mal; d) Le intentas ayudar;
c) No; d) Si;
c) No; d) Si;
c) No; d) Si;
c) Pasas de ella y corres para no mojarte; d) Te preocupas por ella y le ayudas;
